Ranking,Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Year,GDP_Growth,Inflation,Unemployment
126,Djibouti,Sub-Saharan Africa,4.369,2.6044,0.42223,52,0.68795,0.22733,0.49077,2015,5.45836831293627,1.73934880196404,26.063
127,Armenia,Commonwealth of Independent States,4.35,4.54452,0.5542,65,0.29635,0.0987,0.92933,2015,3.51599547257022,1.21390990471085,18.261
128,Botswana,Sub-Saharan Africa,4.332,5.87752,0.78777,40,0.73903,0.13143,0.77398,2015,-6.19995412245493,3.73030585629546,18.915
129,Myanmar,Southeast Asia,4.307,1.6036,0.50566,56,0.65723,1.0,0.65513,2015,6.13960007817474,4.13669673912931,0.766
130,Georgia,Commonwealth of Independent States,4.297,4.38886,0.275,65,0.60588,0.06969,0.30549,2015,3.18839294862944,5.37742167651898,16.506
131,Malawi,Sub-Saharan Africa,4.292,0.09487,0.29335,47,0.64285,0.41624,0.87359,2015,0.0079251828197612,19.814669261198,4.953
132,Sri Lanka,South Asia,4.271,4.94102,0.72674,64,0.8022,0.51298,0.8337,2015,3.25185230562724,3.0143808039816,4.519
133,Cameroon,Sub-Saharan Africa,4.252,2.49938,0.63304,47,0.73625,0.25906,0.89517,2015,2.40123368709621,0.309791677780538,3.518
134,Bulgaria,Central and Eastern Europe,4.218,5.98762,0.78884,66,0.45671,0.14978,0.9842,2015,4.72028584001873,2.94774637860091,9.143
137,Angola,Sub-Saharan Africa,4.033,4.48283,0.61359,45,0.15505,0.1551,0.87097,2015,-2.80470818378251,-2.95734582640344,16.472
138,Mali,Sub-Saharan Africa,3.995,1.54249,0.7383,46,0.58019,0.23619,0.7762,2015,2.96620762317433,2.81854906658864,1.404
140,Comoros,Sub-Saharan Africa,3.956,1.41419,0.56534,52,0.34218,0.21914,0.63943,2015,-0.965303682858504,-0.522981120803166,4.031
141,Uganda,Sub-Saharan Africa,3.931,1.24835,0.80799,51,0.68277,0.36521,0.86834,2015,2.00429943099081,5.18785986456285,2.681
